outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-11,-0.3458187345,0.2856131357,0.2259742801,-0.9056204806,0.2139830115,2025-06,125
top3_mean_consumption,-10,-0.0920517636,0.2529081766,0.7158781248,-0.5877517897,0.4036482626,2025-06,125
top3_mean_consumption,-9,0.0824728059,0.2356202289,0.7263204602,-0.3793428426,0.5442884545,2025-06,125
top3_mean_consumption,-8,-0.1251538882,0.266829778,0.6390409132,-0.6481402532,0.3978324767,2025-06,125
top3_mean_consumption,-7,0.009984528,0.2394617115,0.9667412677,-0.4593604266,0.4793294825,2025-06,125
top3_mean_consumption,-6,0.0569201829,0.2259491033,0.8011060311,-0.3859400596,0.4997804254,2025-06,125
top3_mean_consumption,-5,0.0489833177,0.1968380939,0.8034761918,-0.3368193463,0.4347859818,2025-06,125
top3_mean_consumption,-4,-0.1251766394,0.1818908044,0.4913289632,-0.4816826161,0.2313293373,2025-06,125
top3_mean_consumption,-3,-0.2490925064,0.182276095,0.1717610494,-0.6063536526,0.1081686398,2025-06,125
top3_mean_consumption,-2,-0.2674469312,0.1400151203,0.0561166155,-0.5418765669,0.0069827045,2025-06,125
top3_mean_consumption,0,0.410282136,0.2914385277,0.1591954057,-0.1609373783,0.9815016503,2025-06,125
top3_mean_consumption,1,0.3734634624,0.2425910817,0.1236878166,-0.1020150578,0.8489419826,2025-06,125
top3_mean_consumption,2,0.2403125024,0.2510381984,0.3384286491,-0.2517223664,0.7323473712,2025-06,125
top3_mean_consumption,3,0.0390074624,0.2698327462,0.8850569915,-0.4898647201,0.5678796449,2025-06,125
top3_mean_consumption,4,0.0425461648,0.2557732714,0.8678868083,-0.4587694472,0.5438617768,2025-06,125
top3_mean_consumption,-12,-0.0909691747,0.3771643652,0.8094060087,-0.8302113305,0.6482729811,2025-07,64
top3_mean_consumption,-11,-0.0556910905,0.3802597759,0.8835619106,-0.8010002512,0.6896180703,2025-07,64
top3_mean_consumption,-10,0.0729807341,0.3555100561,0.8373497875,-0.6238189759,0.7697804441,2025-07,64
top3_mean_consumption,-9,-0.0084094095,0.3405202382,0.9802976292,-0.6758290764,0.6590102575,2025-07,64
top3_mean_consumption,-8,-0.2616877711,0.3647476484,0.4730972034,-0.976593162,0.4532176198,2025-07,64
top3_mean_consumption,-7,0.0446940265,0.3479470003,0.8977923318,-0.637282094,0.726670147,2025-07,64
top3_mean_consumption,-6,0.0413066018,0.3395441296,0.9031737445,-0.6241998922,0.7068130957,2025-07,64
top3_mean_consumption,-5,0.0664742924,0.2007615097,0.740560838,-0.3270182666,0.4599668514,2025-07,64
top3_mean_consumption,-4,0.172241184,0.2330355134,0.4598341976,-0.2845084223,0.6289907903,2025-07,64
top3_mean_consumption,-3,-0.1152120356,0.2053948958,0.5748456671,-0.5177860314,0.2873619602,2025-07,64
top3_mean_consumption,-2,-0.3954897584,0.2307959431,0.0866039413,-0.8478498069,0.05687029,2025-07,64
top3_mean_consumption,0,1.0791266594,0.4055892497,0.007799248,0.28417173,1.8740815888,2025-07,64
top3_mean_consumption,1,0.6224853837,0.3661132167,0.0890831987,-0.095096521,1.3400672885,2025-07,64
top3_mean_consumption,2,0.536856863,0.3657561778,0.1421585982,-0.1800252456,1.2537389716,2025-07,64
top3_mean_consumption,3,0.5070839621,0.3896295444,0.1931039492,-0.256589945,1.2707578692,2025-07,64
top3_mean_consumption,4,0.5943039033,0.3932434331,0.1307152054,-0.1764532256,1.3650610323,2025-07,64
top3_mean_consumption,-12,-0.9659785278,0.4268441929,0.0236313399,-1.8025931459,-0.1293639096,2025-08,40
top3_mean_consumption,-11,-1.0006392026,0.426948857,0.0190936222,-1.8374589623,-0.1638194429,2025-08,40
top3_mean_consumption,-10,-0.3384925324,0.4215131357,0.4219507597,-1.1646582784,0.4876732135,2025-08,40
top3_mean_consumption,-9,-0.3108669912,0.3790815724,0.4121858782,-1.0538668731,0.4321328907,2025-08,40
top3_mean_consumption,-8,-0.3606927416,0.4071003063,0.3756150517,-1.158609342,0.4372238588,2025-08,40
top3_mean_consumption,-7,-0.4042509698,0.4052058116,0.3184522289,-1.1984543605,0.389952421,2025-08,40
top3_mean_consumption,-6,-0.0641194977,0.4277546968,0.8808452296,-0.9025187034,0.774279708,2025-08,40
top3_mean_consumption,-5,-0.1311495387,0.2923576482,0.6537254221,-0.7041705291,0.4418714518,2025-08,40
top3_mean_consumption,-4,-0.0379297924,0.2584741052,0.8833332683,-0.5445390386,0.4686794539,2025-08,40
top3_mean_consumption,-3,0.0225536475,0.2910870795,0.9382410984,-0.5479770283,0.5930843232,2025-08,40
top3_mean_consumption,-2,0.0747807348,0.2941501457,0.7993206504,-0.5017535507,0.6513150203,2025-08,40
top3_mean_consumption,0,1.3112213589,0.6299246191,0.0373833359,0.0765691055,2.5458736123,2025-08,40
top3_mean_consumption,1,0.9016627289,0.4716494531,0.0559118356,-0.0227701992,1.826095657,2025-08,40
top3_mean_consumption,2,0.7821204209,0.4523359633,0.0837966164,-0.1044580673,1.668698909,2025-08,40
top3_mean_consumption,3,0.4155957405,0.4611257659,0.3674483293,-0.4882107608,1.3194022417,2025-08,40
top3_mean_consumption,4,0.7381076871,0.4528776949,0.1031402166,-0.1495325949,1.625747969,2025-08,40
top3_mean_consumption,-12,-0.4322737163,0.438787021,0.3245473939,-1.2922962775,0.4277488449,2025-09,49
top3_mean_consumption,-11,-0.064618907,0.4497918652,0.8857657852,-0.9462109628,0.8169731489,2025-09,49
top3_mean_consumption,-10,-0.4076559501,0.4347891385,0.3484527856,-1.2598426615,0.4445307614,2025-09,49
top3_mean_consumption,-9,-0.1889920841,0.4270405942,0.6580823306,-1.0259916488,0.6480074805,2025-09,49
top3_mean_consumption,-8,0.0778581955,0.4582696293,0.8650918951,-0.8203502779,0.9760666688,2025-09,49
top3_mean_consumption,-7,0.1170538107,0.3925596682,0.7655650684,-0.6523631389,0.8864707604,2025-09,49
top3_mean_consumption,-6,0.2731458689,0.372605514,0.463515827,-0.4571609386,1.0034526763,2025-09,49
top3_mean_consumption,-5,-0.1566331652,0.2267233454,0.4896560902,-0.6010109221,0.2877445918,2025-09,49
top3_mean_consumption,-4,-0.0188376335,0.2192902463,0.9315437315,-0.4486465162,0.4109712492,2025-09,49
top3_mean_consumption,-3,0.1173608754,0.2047522953,0.5665196676,-0.2839536234,0.5186753743,2025-09,49
top3_mean_consumption,-2,0.0430666939,0.1960966564,0.8261673276,-0.3412827527,0.4274161404,2025-09,49
top3_mean_consumption,0,0.9218299224,0.3739540873,0.0136979412,0.1888799113,1.6547799336,2025-09,49
top3_mean_consumption,1,0.6781945429,0.4449718597,0.1274764743,-0.1939503021,1.5503393878,2025-09,49
top3_mean_consumption,2,0.3373415633,0.4678890766,0.4709180107,-0.5797210268,1.2544041534,2025-09,49
top3_mean_consumption,3,0.3690408531,0.4444434748,0.4063444697,-0.5020683576,1.2401500637,2025-09,49
top3_mean_consumption,4,0.2914272286,0.472437903,0.5373282121,-0.6345510612,1.2174055184,2025-09,49
top3_mean_consumption,-12,-0.6224997467,0.4215053578,0.1397161307,-1.448650248,0.2036507545,2025-10,50
top3_mean_consumption,-11,-0.5813127288,0.4272920584,0.1736851612,-1.4188051633,0.2561797056,2025-10,50
top3_mean_consumption,-10,-0.7612126635,0.4170142746,0.0679425673,-1.5785606418,0.0561353148,2025-10,50
top3_mean_consumption,-9,-0.6866201775,0.3337965249,0.0396860167,-1.3408613663,-0.0323789887,2025-10,50
top3_mean_consumption,-8,-0.3986368081,0.3394527217,0.2402542689,-1.0639641426,0.2666905265,2025-10,50
top3_mean_consumption,-7,-0.1010559539,0.381927332,0.7913216912,-0.8496335246,0.6475216167,2025-10,50
top3_mean_consumption,-6,-0.278480039,0.3781310508,0.4614481548,-1.0196168986,0.4626568207,2025-10,50
top3_mean_consumption,-5,0.0263841773,0.3552033761,0.9407883287,-0.6698144398,0.7225827945,2025-10,50
top3_mean_consumption,-4,-0.2480622164,0.360258896,0.4910960923,-0.9541696526,0.4580452198,2025-10,50
top3_mean_consumption,-3,-0.0998146329,0.2503301927,0.6900907616,-0.5904618105,0.3908325448,2025-10,50
top3_mean_consumption,-2,-0.020367912,0.3345455272,0.95145292,-0.6760771454,0.6353413214,2025-10,50
top3_mean_consumption,0,1.1140080687,0.5035337841,0.0269404202,0.1270818519,2.1009342856,2025-10,50
top3_mean_consumption,1,0.9241003897,0.515716464,0.073152696,-0.0867038797,1.934904659,2025-10,50
top3_mean_consumption,2,1.0250634877,0.5415202073,0.0583662846,-0.0363161186,2.0864430939,2025-10,50
top3_mean_consumption,3,0.9291802682,0.5019824337,0.0641664627,-0.0547053019,1.9130658383,2025-10,50
top3_mean_consumption,4,0.8647640314,0.5277454725,0.1012964738,-0.1696170947,1.8991451574,2025-10,50
top3_mean_consumption,-12,-0.2170555222,0.2664032572,0.4152079727,-0.7392059064,0.3050948619,2025-11,148
top3_mean_consumption,-11,-0.3081460519,0.2738296541,0.2604533562,-0.844852174,0.2285600701,2025-11,148
top3_mean_consumption,-10,-0.0847285353,0.246545007,0.7310993172,-0.567956749,0.3984996784,2025-11,148
top3_mean_consumption,-9,-0.0039423736,0.2681312507,0.9882690075,-0.5294796249,0.5215948777,2025-11,148
top3_mean_consumption,-8,-0.0286086601,0.2648068282,0.9139671667,-0.5476300434,0.4904127233,2025-11,148
top3_mean_consumption,-7,0.0233537874,0.2418125994,0.9230614949,-0.4505989074,0.4973064822,2025-11,148
top3_mean_consumption,-6,0.1957632482,0.2397878197,0.4142702707,-0.2742208784,0.6657473748,2025-11,148
top3_mean_consumption,-5,-0.0570712023,0.1792730018,0.7502209748,-0.4084462858,0.2943038812,2025-11,148
top3_mean_consumption,-4,-0.1488533115,0.2035763931,0.4646622414,-0.547863042,0.250156419,2025-11,148
top3_mean_consumption,-3,-0.0160649354,0.1854964126,0.9309854116,-0.3796379042,0.3475080333,2025-11,148
top3_mean_consumption,-2,-0.1688300153,0.1624115387,0.2985630399,-0.487156631,0.1494966005,2025-11,148
top3_mean_consumption,0,0.1560174807,0.2561039665,0.5423946121,-0.3459462936,0.657981255,2025-11,148
top3_mean_consumption,1,0.2497544169,0.2729385668,0.3601615712,-0.2852051741,0.7847140079,2025-11,148
top3_mean_consumption,2,0.1380954648,0.2759400879,0.6167550708,-0.4027471074,0.6789380371,2025-11,148
top3_mean_consumption,3,0.3773815789,0.2757245843,0.1710960867,-0.1630386063,0.9178017641,2025-11,148
top3_mean_consumption,-12,-0.6610402811,0.2969109576,0.0259879133,-1.242985758,-0.0790948041,2025-12,121
top3_mean_consumption,-11,-0.7251197934,0.2896814881,0.0123089068,-1.2928955102,-0.1573440767,2025-12,121
top3_mean_consumption,-10,-0.5690514021,0.2952290065,0.0539184057,-1.1477002548,0.0095974507,2025-12,121
top3_mean_consumption,-9,-0.5245107937,0.2824660783,0.0633256179,-1.0781443072,0.0291227197,2025-12,121
top3_mean_consumption,-8,-0.5164716577,0.2870297562,0.0719607637,-1.0790499798,0.0461066644,2025-12,121
top3_mean_consumption,-7,-0.665338869,0.2865736555,0.0202489421,-1.2270232338,-0.1036545041,2025-12,121
top3_mean_consumption,-6,-0.2200821193,0.2616389534,0.4002542441,-0.732894468,0.2927302295,2025-12,121
top3_mean_consumption,-5,-0.44118448,0.2503066653,0.0779720554,-0.9317855439,0.0494165839,2025-12,121
top3_mean_consumption,-4,-0.5117855471,0.2503481161,0.0409243557,-1.0024678546,-0.0211032396,2025-12,121
top3_mean_consumption,-3,-0.501738117,0.2552040007,0.0492954189,-1.0019379584,-0.0015382756,2025-12,121
top3_mean_consumption,-2,-0.2909417894,0.2533434329,0.2507999051,-0.7874949179,0.2056113391,2025-12,121
top3_mean_consumption,0,0.0589358947,0.1938196782,0.7610700606,-0.3209506745,0.438822464,2025-12,121
top3_mean_consumption,1,0.225638221,0.1991149962,0.2571279393,-0.1646271715,0.6159036136,2025-12,121
top3_mean_consumption,2,-0.0690020261,0.2068298937,0.7386683789,-0.4743886177,0.3363845656,2025-12,121
