outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-9,0.3123003401,0.1975287415,0.1138694724,-0.0748559932,0.6994566734,2025-06,125
top3_mean_consumption,-8,0.1368508523,0.225472079,0.5438824052,-0.3050744224,0.578776127,2025-06,125
top3_mean_consumption,-7,0.2306064378,0.2022602857,0.2542251053,-0.1658237222,0.6270365978,2025-06,125
top3_mean_consumption,-6,0.2433010899,0.1885439517,0.1969044967,-0.1262450554,0.6128472352,2025-06,125
top3_mean_consumption,-5,0.0016544624,0.1524577792,0.9913415762,-0.2971627849,0.3004717096,2025-06,125
top3_mean_consumption,-4,-0.0431457624,0.1795123237,0.8100590424,-0.3949899168,0.3086983919,2025-06,125
top3_mean_consumption,-3,-0.0274972749,0.1624312406,0.8655719784,-0.3458625065,0.2908679567,2025-06,125
top3_mean_consumption,-2,0.00092588,0.134195412,0.9944950466,-0.2620971276,0.2639488876,2025-06,125
top3_mean_consumption,1,-0.8140213504,0.2158315611,0.0001622311,-1.2370512101,-0.3909914907,2025-06,125
top3_mean_consumption,2,-0.5871514144,0.2117381855,0.0055540971,-1.002158258,-0.1721445708,2025-06,125
top3_mean_consumption,3,-0.783121584,0.234408017,0.000835229,-1.2425612973,-0.3236818707,2025-06,125
top3_mean_consumption,4,-0.9606394336,0.2309252874,3.18307e-05,-1.413252997,-0.5080258702,2025-06,125
top3_mean_consumption,-12,0.4112701642,0.2262601196,0.0691119275,-0.0321996702,0.8547399985,2025-07,64
top3_mean_consumption,-11,0.4975894676,0.211911447,0.018869407,0.0822430314,0.9129359038,2025-07,64
top3_mean_consumption,-10,0.5036310628,0.288963374,0.0813530198,-0.0627371502,1.0699992758,2025-07,64
top3_mean_consumption,-9,0.750340569,0.2861681466,0.008740854,0.1894510017,1.3112301363,2025-07,64
top3_mean_consumption,-8,0.0997770292,0.2870070554,0.7281055991,-0.4627567993,0.6623108577,2025-07,64
top3_mean_consumption,-7,0.5525303225,0.2360273519,0.019234286,0.0899167128,1.0151439322,2025-07,64
top3_mean_consumption,-6,0.5750985078,0.2240763155,0.0102721842,0.1359089295,1.0142880861,2025-07,64
top3_mean_consumption,-5,0.0502210361,0.2455475671,0.8379419213,-0.4310521953,0.5314942676,2025-07,64
top3_mean_consumption,-4,0.0537056818,0.2297249302,0.8151537911,-0.3965551814,0.5039665451,2025-07,64
top3_mean_consumption,-3,0.0250179346,0.2155220877,0.9075886589,-0.3974053572,0.4474412264,2025-07,64
top3_mean_consumption,-2,-0.0390295082,0.206557393,0.8501301502,-0.4438819985,0.365822982,2025-07,64
top3_mean_consumption,1,-0.5661871822,0.2697502809,0.0358229982,-1.0948977327,-0.0374766317,2025-07,64
top3_mean_consumption,2,-0.8964480341,0.2622125762,0.0006290175,-1.4103846835,-0.3825113848,2025-07,64
top3_mean_consumption,3,-0.576493241,0.2870141832,0.0445808462,-1.13904104,-0.0139454419,2025-07,64
top3_mean_consumption,4,-0.6942788302,0.3106960509,0.0254441634,-1.30324309,-0.0853145704,2025-07,64
top3_mean_consumption,-12,-0.0520678739,0.2932966678,0.8590950044,-0.6269293428,0.5227935949,2025-08,40
