outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-11,-0.3908476265,0.286856963,0.1730346312,-0.9530872739,0.1713920209,2025-06,125
top3_mean_consumption,-10,-0.2412198679,0.2510719764,0.3366729434,-0.7333209417,0.2508812058,2025-06,125
top3_mean_consumption,-9,-0.0425458837,0.2376512896,0.8579168769,-0.5083424113,0.4232506439,2025-06,125
top3_mean_consumption,-8,-0.189405656,0.2714528231,0.4853348235,-0.7214531892,0.3426418773,2025-06,125
top3_mean_consumption,-7,-0.0658368079,0.2450595879,0.7881941653,-0.5461536001,0.4144799843,2025-06,125
top3_mean_consumption,-6,-0.0255226109,0.2279474531,0.910849508,-0.472299619,0.4212543971,2025-06,125
top3_mean_consumption,-5,0.0531306052,0.1977685753,0.7881987303,-0.3344958023,0.4407570127,2025-06,125
top3_mean_consumption,-4,-0.1713801475,0.1807399205,0.3430204523,-0.5256303917,0.1828700967,2025-06,125
top3_mean_consumption,-3,-0.3035779455,0.181165944,0.0937989461,-0.6586631958,0.0515073048,2025-06,125
top3_mean_consumption,-2,-0.3564885456,0.1446201885,0.0137013831,-0.6399441151,-0.0730329761,2025-06,125
top3_mean_consumption,0,0.2382708928,0.288729119,0.4092352015,-0.3276381804,0.804179966,2025-06,125
top3_mean_consumption,1,0.4052511568,0.2450508162,0.0981796714,-0.075048443,0.8855507566,2025-06,125
top3_mean_consumption,2,0.2694660832,0.2525446675,0.2859701856,-0.2255214651,0.7644536315,2025-06,125
top3_mean_consumption,3,0.0023770432,0.271230605,0.9930074934,-0.5292349426,0.533989029,2025-06,125
top3_mean_consumption,4,0.0899968048,0.2605291147,0.7297646851,-0.42064026,0.6006338696,2025-06,125
top3_mean_consumption,-12,-0.1815944517,0.3836572273,0.6359815248,-0.9335626171,0.5703737138,2025-07,64
top3_mean_consumption,-11,-0.0630122734,0.3912477591,0.8720503529,-0.8298578813,0.7038333345,2025-07,64
top3_mean_consumption,-10,0.0292916183,0.3653711381,0.9361024544,-0.6868358124,0.745419049,2025-07,64
top3_mean_consumption,-9,-0.1013128163,0.3527832313,0.7739733535,-0.7927679495,0.590142317,2025-07,64
