new_event_time,effect,se,p_value,ci_low,ci_high,n_control,n_treated,cohort_group
-6,-0.290590602,0.3174418272378205,0.5849939332252138,-0.912776583,0.33159537930470084,97.91025641025641,468,2025-04 to 2025-10
-5,-0.168477923,0.22263163452992524,0.4955992581630923,-0.604835927,0.26788008058416457,196.23192019950125,802,2025-04 to 2025-10
-4,-0.250401596,0.23328663407693268,0.2703875605416459,-0.707643399,0.20684020656558605,196.23192019950125,802,2025-04 to 2025-10
-3,-0.239325622,0.23129981525935164,0.5228048629549875,-0.69267326,0.21402201545723196,196.23192019950125,802,2025-04 to 2025-10
-2,-0.191551806,0.20730933286446382,0.27095311728802995,-0.597878098,0.21477448682044886,196.23192019950125,802,2025-04 to 2025-10
0,0.32909172519451374,0.1871954897381546,0.1290169833437656,-0.037811435,0.6959948850851622,196.23192019950125,802,2025-04 to 2025-10
1,0.3583612673628205,0.28379836494594013,0.29420634931794876,-0.197883528,0.9146060626508546,97.91025641025641,468,2025-04 to 2025-10
2,0.1449890970905488,0.32970827439237804,0.5404752235932927,-0.501239121,0.7912173148698172,79.94512195,328,2025-04 to 2025-10
3,-0.047006353,0.43309106375123163,0.652992298,-0.895864838,0.8018521318197044,52.20197044334975,203,2025-04 to 2025-10
4,0.13572320606330934,0.47567127469856113,0.774837185,-0.796592492,1.0680389045316545,46.76978417266187,139,2025-04 to 2025-10
